run_dir,throughput_fps,latency_mean_ms,latency_median_ms,latency_p95_ms,Lat_PreMux_ms_mean,Lat_Mux_ms_mean,Lat_Infer_ms_mean,Lat_Tracker_ms_mean,Lat_PreOSD_ms_mean,Lat_OSD_ms_mean,Lat_Output_ms_mean,gpu_pct_mean,ram_mb_mean,VDD_IN_mW_mean,VDD_CPU_GPU_CV_mW_mean,VDD_SOC_mW_mean,CPU_Core_1_Persen_mean,CPU_Core_1_Freq_MHz_mean,CPU_Core_2_Persen_mean,CPU_Core_2_Freq_MHz_mean,CPU_Core_3_Persen_mean,CPU_Core_3_Freq_MHz_mean,CPU_Core_4_Persen_mean,CPU_Core_4_Freq_MHz_mean,CPU_Core_5_Persen_mean,CPU_Core_5_Freq_MHz_mean,CPU_Core_6_Persen_mean,CPU_Core_6_Freq_MHz_mean,model,tracker
data/benchmark/yolov9t_kitti_efficientnms_nvsort/20260819_124052,66.74799653321176,272.4185648854962,264.641,325.87149999999997,206.96317557251908,15.69826717557252,32.197496183206106,0.5952137404580152,0.008122137404580154,9.852374045801527,7.104007633587786,90.0,1314.5,8946.5,3074.0,2109.0,46.5,1510.0,31.0,1510.0,31.5,1510.0,32.0,1510.0,25.5,1510.0,27.0,1510.0,yolov9t_kitti_efficientnms,nvsort
data/benchmark/yolov9t_kitti_efficientnms_nvsort/20260819_124205,67.13508568050257,262.61647692307685,255.639,319.165,206.18977692307695,13.757961538461538,27.831384615384614,0.5800076923076923,0.007784615384615385,8.893723076923079,5.355907692307692,93.0,1319.0,8946.5,3094.0,2109.0,42.5,1510.0,36.5,1510.0,35.0,1510.0,28.0,1510.0,27.0,1510.0,23.5,1510.0,yolov9t_kitti_efficientnms,nvsort
data/benchmark/yolov9t_kitti_efficientnms_nvsort/20260819_124318,67.14453758684584,293.3662727272727,287.635,345.65389999999996,219.9229924242424,21.186825757575757,33.067818181818176,0.7876363636363637,0.008454545454545456,10.726287878787877,7.666386363636363,92.0,1318.0,8926.0,3074.0,2109.0,34.0,1510.0,32.5,1510.0,33.0,1510.0,30.0,1510.0,30.5,1510.0,31.5,1510.0,yolov9t_kitti_efficientnms,nvsort
data/benchmark/yolov9t_kitti_efficientnms_nvsort/20260819_124431,67.731726523072,290.3786893939394,283.1535,341.84315000000004,218.3915909090909,20.353030303030305,33.92012121212122,0.5638939393939394,0.006977272727272728,10.006325757575755,7.136833333333334,90.0,1321.5,8966.5,3094.0,2109.0,45.0,1510.0,29.0,1510.0,29.5,1510.0,35.0,1510.0,27.5,1510.0,27.0,1510.0,yolov9t_kitti_efficientnms,nvsort
data/benchmark/yolov9t_kitti_efficientnms_nvsort/20260819_124544,67.16750558202676,329.14495488721803,320.919,378.059,254.5005789473684,21.85115037593985,29.39981203007519,0.6908421052631579,0.008195488721804511,12.073947368421052,10.62042105263158,91.0,1318.0,8926.0,3074.0,2109.0,39.0,1510.0,31.5,1510.0,28.5,1510.0,27.0,1510.0,32.0,1510.0,31.0,1510.0,yolov9t_kitti_efficientnms,nvsort
data/benchmark/yolov9t_kitti_nvdcf/20260819_114530,52.29101221298698,449.0147014925373,444.3695,525.4126,353.9900037313433,26.98387313432836,30.198455223880597,17.826619402985074,0.009552238805970151,12.641731343283581,7.364514925373134,91.4,1366.4,8666.6,2882.8,2077.0,35.4,1510.0,27.0,1510.0,25.4,1510.0,27.2,1510.0,28.4,1510.0,28.4,1510.0,yolov9t_kitti,nvdcf
data/benchmark/yolov9t_kitti_nvdcf/20260819_114647,51.734700651039354,456.4174578754579,453.715,541.0677999999999,359.93530769230773,27.4410695970696,27.984029304029303,19.818098901098903,0.00880952380952381,13.183893772893773,8.046190476190475,91.0,1364.8,8577.2,2827.0,2052.6,32.6,1510.0,29.4,1510.0,24.4,1510.0,23.8,1510.0,26.8,1510.0,24.4,1510.0,yolov9t_kitti,nvdcf
data/benchmark/yolov9t_kitti_nvdcf/20260819_114803,50.91965613767619,464.55282656826563,459.521,540.011,366.29537269372696,27.795250922509226,29.285952029520296,16.844457564575645,0.008531365313653137,16.26921033210332,8.054036900369004,79.0,1359.8,8544.8,2819.0,2060.8,32.2,1510.0,24.8,1510.0,26.4,1510.0,26.6,1510.0,29.6,1510.0,30.0,1510.0,yolov9t_kitti,nvdcf
data/benchmark/yolov9t_kitti_nvdcf/20260819_114919,51.77752629906663,456.4869448529412,452.486,539.50205,360.2911286764706,27.42901470588235,29.05720955882353,18.842474264705885,0.008805147058823529,13.143470588235294,7.714886029411765,83.6,1367.6,8642.2,2858.6,2068.6,37.4,1510.0,24.8,1510.0,25.6,1510.0,28.0,1510.0,27.6,1510.0,26.8,1510.0,yolov9t_kitti,nvdcf
data/benchmark/yolov9t_kitti_nvdcf/20260819_115036,50.87925465441645,461.89593050193054,455.148,535.6309,364.0762200772201,27.744405405405402,26.70473359073359,21.34215444015444,0.009297297297297299,13.562015444015444,8.457150579150579,93.4,1367.4,8560.8,2819.2,2069.0,33.6,1510.0,24.8,1510.0,27.4,1510.0,27.4,1510.0,28.6,1510.0,25.8,1510.0,yolov9t_kitti,nvdcf
